Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,,Size
0.9408,-21.95392615,-30.05780099,-20.94236316,-26.18947233,-30.70968404,-33.77884237,-107.3380348,92.5107871,-99.59030088,-159.6933213,-69.60160142,-48.33798613,-0.632310538,-1.55385102,-1.439859982,-0.74150201,-31.43791785,-39.32288237,-44.25453177,-33.82089434,,20
0.9466,-22.38577519,-29.49385259,-20.48618321,-27.28921588,-30.02066422,-33.44307735,-117.9804691,85.8494431,-109.4803848,-169.1740965,-83.59478419,-50.93926011,-0.614781713,-1.450948148,-1.560253138,-0.761250198,-32.06713667,-39.27507646,-44.74462069,-34.18383124,,20
0.9524,-22.62191924,-28.7180162,-20.13020191,-28.4158565,-29.52044062,-33.82436686,-129.0453596,79.92187907,-119.3239981,-175.6964064,-95.24656238,-55.6379785,-0.624210118,-1.376230303,-1.710462947,-0.800320816,-32.80441523,-39.33939704,-45.00445174,-34.511236,,20
0.9582,-22.95882127,-27.94532601,-19.8275255,-29.59364564,-29.09270772,-33.38766254,-142.4031982,71.84697315,-129.698272,178.2794578,-108.0008639,-57.35665126,-0.664845181,-1.277901135,-1.849943171,-0.815171197,-33.26646339,-39.53998193,-44.98618796,-34.73339827,,20
0.964,-23.68062282,-27.50906047,-19.73412822,-30.68444247,-28.82031908,-33.0613153,-154.8452873,62.41312893,-140.7278042,174.0985642,-121.0739556,-62.24327854,-0.695421549,-1.188999268,-1.99501643,-0.834515391,-33.71303891,-39.60806711,-44.44982539,-34.69076791,,20
0.9698,-24.46308183,-27.17806062,-19.96792034,-31.97981538,-28.90225414,-32.93387423,-165.8860999,53.57501722,-151.248808,170.6540536,-134.2039652,-66.70001791,-0.721465087,-1.11499447,-2.123740392,-0.830870253,-34.05525248,-40.14436041,-44.10593874,-34.82174975,,20
0.9756,-25.19745298,-26.91430973,-20.20213032,-33.08151618,-29.08671921,-32.81015981,-175.5700299,44.74771303,-160.1016374,169.7435611,-147.3254253,-70.60792546,-0.761059642,-1.064316478,-2.255934812,-0.818595501,-34.50907341,-40.61341852,-43.53523861,-34.89270836,,20
0.9814,-25.8933819,-26.64092645,-20.52728898,-34.32186279,-29.66559002,-32.92500743,175.6856986,34.28026376,-169.2391701,169.6405306,-160.5331741,-77.78533046,-0.818765585,-1.050388667,-2.399923479,-0.792357615,-34.89527659,-41.00954772,-42.63505119,-34.94554804,,20
0.9872,-26.41526477,-26.85679483,-20.914753,-35.20294582,-30.27416074,-33.1325379,167.9523445,23.10932556,-178.3046128,173.3401123,-172.0907851,-81.95474086,-0.879027825,-1.03721694,-2.499682399,-0.778495449,-35.19245109,-41.47694016,-41.57560284,-35.32428806,,20
0.993,-26.77546351,-27.26810144,-21.49101785,-35.60399085,-31.10066773,-33.58965813,160.6105241,14.40125617,173.9602085,179.8529458,175.85672,-87.66404998,-0.963341494,-1.033493939,-2.535050151,-0.762508337,-35.27581589,-41.74365935,-40.38779278,-35.52031778,,20
0.9988,-26.98877073,-27.55490062,-22.01368664,-35.09570194,-31.99293417,-34.04357386,153.1759666,4.779818803,167.253104,-174.9736185,166.0106536,-93.72532426,-1.046548214,-1.014177265,-2.516359094,-0.744730125,-35.1940387,-42.1491574,-39.51693271,-35.82809283,,20
1.0046,-27.12118434,-28.03422306,-22.53619817,-34.13220233,-32.82153772,-35.14729565,145.8843314,-4.546825521,161.4183003,-173.4356809,156.3274456,-99.03748448,-1.131139919,-1.002894345,-2.46273926,-0.725979478,-34.98387575,-42.60725707,-38.61042496,-35.92780084,,20
1.0104,-27.09731722,-28.6767397,-22.86773064,-33.20471004,-33.57757911,-36.26319398,139.4288544,-14.89999544,155.6417431,-175.4322708,146.9301943,-99.90628245,-1.195948236,-1.03425468,-2.399195496,-0.739432533,-34.71585445,-43.36334054,-38.35797026,-36.29605841,,20
1.0162,-26.84326611,-29.71015954,-23.30059098,-32.34392824,-33.80950103,-37.03291176,132.6514896,-24.23407708,149.0000365,-179.2833144,138.0041568,-101.9592023,-1.252183908,-1.062817516,-2.320221294,-0.73448633,-34.18830736,-43.9771972,-38.19193578,-36.50099685,,20
